Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5,Split,Region
3.0,DREAM,45,37,1111,54,0,112,99,111,11,Lobby 1,Round_1,,,,,Split_1,APAC_South
4.0,NANYANG,33,73,55,37,33,45,55,121,44,Lobby 1,Round_1,,,,,Split_1,APAC_South
5.0,MXT,28,141,33,160,22,92,77,92,1111,Lobby 1,Round_1,,,,,Split_1,APAC_South
6.0,HEK TEW,26,92,0,29,77,82,11,45,0,Lobby 1,Round_1,,,,,Split_1,APAC_South
7.0,CKB,25,111,0,141,0,29,1212,102,0,Lobby 1,Round_1,,,,,Split_1,APAC_South
8.0,Systematic,23,45,33,131,0,111,0,29,44,Lobby 1,Round_1,,,,,Split_1,APAC_South
9.0,LNW,22,121,22,63,11,63,66,63,33,Lobby 1,Round_1,,,,,Split_1,APAC_South
10.0,DVG,21,170,0,45,77,141,0,54,44,Lobby 1,Round_1,,,,,Split_1,APAC_South
11.0,DYN,20,63,11,82,44,102,0,37,11,Lobby 1,Round_1,,,,,Split_1,APAC_South
12.0,OSP,15,102,22,102,55,73,0,160,11,Lobby 1,Round_1,,,,,Split_1,APAC_South
13.0,Team eXplicit,11,54,11,151,0,121,11,151,22,Lobby 1,Round_1,,,,,Split_1,APAC_South
14.0,Petarunxx,9,151,0,92,33,151,0,131,11,Lobby 1,Round_1,,,,,Split_1,APAC_South
15.0,Triads,6,131,33,111,0,170,0,141,0,Lobby 1,Round_1,,,,,Split_1,APAC_South
16.0,Wonders Esports,6,82,22,170,0,160,0,82,0,Lobby 1,Round_1,,,,,Split_1,APAC_South
17.0,SuperiorSoySauce,4,160,0,121,0,131,22,170,0,Lobby 1,Round_1,,,,,Split_1,APAC_South
18.0,SW1PE,0,200,0,200,0,200,0,200,0,Lobby 1,Round_1,,,,,Split_1,APAC_South
19.0,SLK,0,180,0,200,0,200,0,200,0,Lobby 1,Round_1,,,,,Split_1,APAC_South
1.0,BOG,92,29,66,112,99,112,88,112,2424,Lobby 2,Round_1,,,,,Split_1,APAC_South
2.0,AU Skyrise,75,112,2323,29,1313,131,66,54,77,Lobby 2,Round_1,,,,,Split_1,APAC_South
3.0,4ChineseHorseman,36,151,22,37,22,45,77,29,33,Lobby 2,Round_1,,,,,Split_1,APAC_South
4.0,OGL,33,82,0,102,88,29,55,82,55,Lobby 2,Round_1,,,,,Split_1,APAC_South
5.0,Quentiam,25,54,44,63,44,111,44,73,22,Lobby 2,Round_1,,,,,Split_1,APAC_South
6.0,END,25,73,33,92,0,37,88,92,0,Lobby 2,Round_1,,,,,Split_1,APAC_South
7.0,6969,18,45,11,160,33,151,0,45,33,Lobby 2,Round_1,,,,,Split_1,APAC_South
8.0,TEXT XENION,15,111,33,54,44,180,22,121,0,Lobby 2,Round_1,,,,,Split_1,APAC_South
9.0,EVO.Supreme,15,160,33,141,22,121,0,37,11,Lobby 2,Round_1,,,,,Split_1,APAC_South
10.0,September,15,37,0,180,0,102,66,160,0,Lobby 2,Round_1,,,,,Split_1,APAC_South
11.0,Lags Fault,12,63,11,73,11,92,0,102,0,Lobby 2,Round_1,,,,,Split_1,APAC_South
12.0,PAKORAS,11,141,22,82,11,141,0,63,11,Lobby 2,Round_1,,,,,Split_1,APAC_South
13.0,X SPLITS,9,170,11,45,11,82,0,170,0,Lobby 2,Round_1,,,,,Split_1,APAC_South
14.0,FLRV,8,180,0,131,0,73,33,111,0,Lobby 2,Round_1,,,,,Split_1,APAC_South
15.0,ALZ,8,121,0,121,11,54,0,131,0,Lobby 2,Round_1,,,,,Split_1,APAC_South
16.0,Freedom,7,92,22,151,0,160,0,151,11,Lobby 2,Round_1,,,,,Split_1,APAC_South
17.0,1ㄟ必取要不要打APEX,7,131,0,111,0,63,0,141,11,Lobby 2,Round_1,,,,,Split_1,APAC_South
18.0,Wake Up Late,3,102,0,170,0,170,11,180,0,Lobby 2,Round_1,,,,,Split_1,APAC_South
1.0,BTCxWGG,71,112,1313,45,1515,131,0,112,1313,Lobby 3,Round_1,,,,,Split_1,APAC_South
2.0,Multicultural,61,37,1212,63,22,112,1313,45,77,Lobby 3,Round_1,,,,,Split_1,APAC_South
3.0,EMM,47,73,22,54,44,121,55,29,1919,Lobby 3,Round_1,,,,,Split_1,APAC_South
4.0,LH,39,141,33,112,1111,45,44,73,0,Lobby 3,Round_1,,,,,Split_1,APAC_South
5.0,Soosmar slayer,28,111,0,29,55,63,55,63,22,Lobby 3,Round_1,,,,,Split_1,APAC_South
6.0,Evolution NewGen,27,45,22,131,33,29,77,190,0,Lobby 3,Round_1,,,,,Split_1,APAC_South
7.0,Inferno DRT,25,92,44,37,11,37,33,151,0,Lobby 3,Round_1,,,,,Split_1,APAC_South
8.0,DNT,24,29,77,111,33,160,44,170,0,Lobby 3,Round_1,,,,,Split_1,APAC_South
9.0,R.Harmony,21,160,0,102,44,111,33,37,44,Lobby 3,Round_1,,,,,Split_1,APAC_South
10.0,C00kedGamingClan,15,54,44,82,11,92,11,160,11,Lobby 3,Round_1,,,,,Split_1,APAC_South
11.0,Sayu Supermacy,13,63,0,121,0,73,0,54,22,Lobby 3,Round_1,,,,,Split_1,APAC_South
12.0,Sanity,12,170,0,73,11,141,44,92,11,Lobby 3,Round_1,,,,,Split_1,APAC_South
13.0,Arcadian,10,131,0,92,0,102,11,131,33,Lobby 3,Round_1,,,,,Split_1,APAC_South
14.0,Kardinals,9,180,0,180,0,54,22,82,11,Lobby 3,Round_1,,,,,Split_1,APAC_South
15.0,Astreaks Gaming,6,102,44,170,0,190,0,180,0,Lobby 3,Round_1,,,,,Split_1,APAC_South
16.0,EVOLUTION BLACK,5,82,0,141,0,170,0,141,11,Lobby 3,Round_1,,,,,Split_1,APAC_South
17.0,Triple Cobra,4,121,0,160,0,82,0,121,0,Lobby 3,Round_1,,,,,Split_1,APAC_South
18.0,SkarptSinne,3,190,0,200,0,151,0,111,11,Lobby 3,Round_1,,,,,Split_1,APAC_South
19.0,Informal Squad,3,151,0,200,0,180,0,102,0,Lobby 3,Round_1,,,,,Split_1,APAC_South
1.0,Juiced,60,54,88,29,88,112,99,63,77,Lobby 4,Round_1,,,,,Split_1,APAC_South
2.0,Antiaa,54,63,66,63,66,29,77,112,88,Lobby 4,Round_1,,,,,Split_1,APAC_South
3.0,Overclocked,52,29,1414,45,66,73,88,37,0,Lobby 4,Round_1,,,,,Split_1,APAC_South
4.0,OC,35,37,55,112,99,111,11,170,0,Lobby 4,Round_1,,,,,Split_1,APAC_South
5.0,South Cartel,31,160,22,170,44,141,33,29,1212,Lobby 4,Round_1,,,,,Split_1,APAC_South
6.0,GOD OF DREAM,30,112,55,151,11,37,0,131,33,Lobby 4,Round_1,,,,,Split_1,APAC_South
7.0,GBR,29,73,0,121,66,45,88,73,33,Lobby 4,Round_1,,,,,Split_1,APAC_South
8.0,Sigma Gamers,23,141,33,92,22,54,44,54,33,Lobby 4,Round_1,,,,,Split_1,APAC_South
9.0,CRYPTICUS,17,180,0,37,33,92,33,151,11,Lobby 4,Round_1,,,,,Split_1,APAC_South
10.0,Hardstucks,14,45,55,180,0,160,0,121,33,Lobby 4,Round_1,,,,,Split_1,APAC_South
11.0,DESI,14,111,0,82,11,63,22,92,33,Lobby 4,Round_1,,,,,Split_1,APAC_South
12.0,Just Send It,13,102,0,54,33,102,0,111,11,Lobby 4,Round_1,,,,,Split_1,APAC_South
13.0,LightSaber,12,170,0,131,0,151,33,82,55,Lobby 4,Round_1,,,,,Split_1,APAC_South
14.0,LAG,8,151,0,160,0,131,0,45,11,Lobby 4,Round_1,,,,,Split_1,APAC_South
15.0,LVTHN,7,92,0,73,0,121,11,180,0,Lobby 4,Round_1,,,,,Split_1,APAC_South
16.0,C10H15N,7,82,0,111,0,82,0,102,0,Lobby 4,Round_1,,,,,Split_1,APAC_South
17.0,Nostalgic Ferets,4,121,11,141,0,180,0,141,0,Lobby 4,Round_1,,,,,Split_1,APAC_South
18.0,DSK,4,131,0,102,11,170,0,160,0,Lobby 4,Round_1,,,,,Split_1,APAC_South
1.0,END,87,4,2,3,6,1,9,2,4,Lobby 1,Semifinals,1.0,14.0,5.0,3.0,Split_1,APAC_South
2.0,4ChineseHorseman,84,5,2,1,10,5,11,1,13,Lobby 1,Semifinals,13.0,0.0,3.0,8.0,Split_1,APAC_South
3.0,BOG,66,1,12,7,5,10,1,3,8,Lobby 1,Semifinals,5.0,6.0,4.0,1.0,Split_1,APAC_South
4.0,IFPD,61,7,8,15,1,3,14,4,8,Lobby 1,Semifinals,16.0,3.0,7.0,8.0,Split_1,APAC_South
5.0,September,48,12,0,2,9,7,0,9,1,Lobby 1,Semifinals,8.0,0.0,1.0,9.0,Split_1,APAC_South
6.0,CKB,45,3,5,18,1,11,1,11,3,Lobby 1,Semifinals,3.0,4.0,2.0,6.0,Split_1,APAC_South
7.0,NANYANG,43,2,3,17,0,8,2,5,4,Lobby 1,Semifinals,4.0,5.0,9.0,7.0,Split_1,APAC_South
8.0,Job Seekers,37,8,0,11,3,2,2,8,1,Lobby 1,Semifinals,2.0,8.0,17.0,0.0,Split_1,APAC_South
