Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby,Round,PQL
11.0,ZGravityEsports,18,11,3,14,0,10,0,8,9,,,,,Lobby 2,Quarterfinals,Preseason_Qualifier_2
12.0,OMEGA,16,9,0,18,0,2,4,13,0,,,,,Lobby 2,Quarterfinals,Preseason_Qualifier_2
13.0,Online,14,3,4,13,1,16,0,11,0,,,,,Lobby 2,Quarterfinals,Preseason_Qualifier_2
14.0,TCS,13,12,5,17,3,13,2,12,0,,,,,Lobby 2,Quarterfinals,Preseason_Qualifier_2
15.0,LosÁlamosGaming,7,7,4,20,0,20,0,20,0,,,,,Lobby 2,Quarterfinals,Preseason_Qualifier_2
16.0,Ainz oal gown,7,10,1,9,0,14,0,15,0,,,,,Lobby 2,Quarterfinals,Preseason_Qualifier_2
17.0,Platinas Team,7,18,0,5,0,17,0,6,0,,,,,Lobby 2,Quarterfinals,Preseason_Qualifier_2
18.0,ICEBERGS,4,6,0,16,0,15,0,20,0,,,,,Lobby 2,Quarterfinals,Preseason_Qualifier_2
19.0,Los perro waton,1,16,0,15,0,18,0,20,0,,,,,Lobby 2,Quarterfinals,Preseason_Qualifier_2
20.0,Tarapaca Gaming,0,20,0,20,0,20,0,20,0,,,,,Lobby 2,Quarterfinals,Preseason_Qualifier_2
1.0,Slav Animals,59,17,0,1,8,2,9,1,9,,,,,Lobby 3,Quarterfinals,Preseason_Qualifier_2
2.0,Duty calls,51,3,13,8,9,10,3,3,8,,,,,Lobby 3,Quarterfinals,Preseason_Qualifier_2
3.0,ALFA WARRIORS,47,1,18,15,0,7,4,7,6,,,,,Lobby 3,Quarterfinals,Preseason_Qualifier_2
4.0,MVP,46,2,10,6,7,6,5,5,5,,,,,Lobby 3,Quarterfinals,Preseason_Qualifier_2
5.0,UltiMaTuM,38,5,4,3,7,3,8,14,0,,,,,Lobby 3,Quarterfinals,Preseason_Qualifier_2
6.0,NO MERCY,30,8,3,2,7,12,6,13,1,,,,,Lobby 3,Quarterfinals,Preseason_Qualifier_2
7.0,AGCL,26,19,1,10,0,1,8,9,1,,,,,Lobby 3,Quarterfinals,Preseason_Qualifier_2
8.0,MonsTer Team,22,6,1,14,2,16,0,2,6,,,,,Lobby 3,Quarterfinals,Preseason_Qualifier_2
9.0,OF,21,11,1,9,2,8,2,4,6,,,,,Lobby 3,Quarterfinals,Preseason_Qualifier_2
10.0,Blagueur,20,12,0,11,3,9,2,6,8,,,,,Lobby 3,Quarterfinals,Preseason_Qualifier_2
