Standings,Team.1,Total,Lobby,Round,Region
17,Artemis Divinity,2,Lobby 3,Round_1,EMEA
18,Org Dropouts,2,Lobby 3,Round_1,EMEA
1,FV,65,Lobby 4,Round_1,EMEA
2,MP,50,Lobby 4,Round_1,EMEA
3,Young Squad,47,Lobby 4,Round_1,EMEA
4,Uchinix,43,Lobby 4,Round_1,EMEA
5,ORCL,36,Lobby 4,Round_1,EMEA
6,ConsoleGamers,35,Lobby 4,Round_1,EMEA
7,PDPivas,30,Lobby 4,Round_1,EMEA
8,superdumplings,22,Lobby 4,Round_1,EMEA
9,Black PENTA,19,Lobby 4,Round_1,EMEA
10,Gang FDD,17,Lobby 4,Round_1,EMEA
11,Tania & Friends,15,Lobby 4,Round_1,EMEA
12,Ghoul-punk,14,Lobby 4,Round_1,EMEA
13,Gibby Got Cake,14,Lobby 4,Round_1,EMEA
14,ADNL,11,Lobby 4,Round_1,EMEA
15,RA9,9,Lobby 4,Round_1,EMEA
16,TBD,6,Lobby 4,Round_1,EMEA
17,ODO,3,Lobby 4,Round_1,EMEA
18,Sussy Bakas,2,Lobby 4,Round_1,EMEA
1,BGR,86,Lobby 5,Round_1,EMEA
2,TD,63,Lobby 5,Round_1,EMEA
3,Team SiMo,44,Lobby 5,Round_1,EMEA
