Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Bracket,LCQ,Legend,Region
5,TERM,59,2,13,13,3,16,0,1,15,11,4,15,0,Winners_Bracket,Last_Chance_Qualifier_1,,South_America
6,PRDX,47,3,4,7,3,5,3,5,2,9,9,5,2,Winners_Bracket,Last_Chance_Qualifier_1,,South_America
7,GOAT,39,15,0,5,2,3,3,13,0,3,0,2,5,Winners_Bracket,Last_Chance_Qualifier_1,,South_America
8,RUA6,33,5,0,6,1,1,4,15,0,8,0,4,1,Winners_Bracket,Last_Chance_Qualifier_1,,South_America
9,ULW,28,6,0,8,5,9,0,12,1,10,0,7,9,Winners_Bracket,Last_Chance_Qualifier_1,,South_America
10,SP,24,13,2,15,0,10,6,6,2,17,0,6,4,Winners_Bracket,Last_Chance_Qualifier_1,,South_America
11,AIMC,21,4,0,4,3,17,0,7,0,5,0,11,0,Winners_Bracket,Last_Chance_Qualifier_1,,South_America
12,SIG,15,14,0,16,0,8,1,4,1,13,1,10,1,Winners_Bracket,Last_Chance_Qualifier_1,,South_America
13,2k ping,14,11,0,14,0,14,0,14,0,7,5,8,0,Winners_Bracket,Last_Chance_Qualifier_1,,South_America
14,PVP,11,0,0,0,0,6,1,10,4,12,0,0,0,Winners_Bracket,Last_Chance_Qualifier_1,,South_America
15,TCS,9,0,0,0,0,7,2,8,0,16,0,12,1,Winners_Bracket,Last_Chance_Qualifier_1,,South_America
16,NICA,9,10,1,11,0,13,0,9,0,15,0,13,0,Winners_Bracket,Last_Chance_Qualifier_1,,South_America
17,OSO,8,7,1,12,0,15,0,17,1,14,0,16,0,Winners_Bracket,Last_Chance_Qualifier_1,,South_America
18,CAPI,0,0,0,0,0,0,0,0,0,0,0,0,0,Winners_Bracket,Last_Chance_Qualifier_1,,South_America
19,MAUA,0,0,0,0,0,0,0,0,0,0,0,0,0,Winners_Bracket,Last_Chance_Qualifier_1,,South_America
20,Tharsis,0,0,0,0,0,0,0,0,0,0,0,0,0,Winners_Bracket,Last_Chance_Qualifier_1,,South_America
1,FNX,87,1,12,1,12,2,10,9,3,8,2,9,1,Finals,Last_Chance_Qualifier_2,,South_America
2,1IQ,85,2,8,9,3,1,14,1,7,1,5,14,0,Finals,Last_Chance_Qualifier_2,,South_America
3,SST,57,5,11,11,2,10,5,6,4,3,8,16,1,Finals,Last_Chance_Qualifier_2,,South_America
4,DYN,51,6,0,2,9,6,1,4,7,18,0,3,1,Finals,Last_Chance_Qualifier_2,,South_America
5,XEN,48,16,3,3,6,14,0,2,5,16,2,10,3,Finals,Last_Chance_Qualifier_2,,South_America
6,BRZ,40,4,4,10,5,4,5,15,0,13,1,5,7,Finals,Last_Chance_Qualifier_2,,South_America
7,PTD,38,10,0,18,0,15,4,14,9,17,0,1,9,Finals,Last_Chance_Qualifier_2,,South_America
8,AK47,34,7,0,17,1,18,0,16,0,6,6,4,9,Finals,Last_Chance_Qualifier_2,,South_America
9,OF,33,20,0,15,0,3,4,8,1,9,0,2,5,Finals,Last_Chance_Qualifier_2,,South_America
10,PD,31,3,2,20,0,12,4,7,7,14,3,20,0,Finals,Last_Chance_Qualifier_2,,South_America
11,1SE,30,8,4,4,8,8,2,17,0,5,3,17,0,Finals,Last_Chance_Qualifier_2,,South_America
12,LNW,29,14,3,14,0,9,4,11,7,19,0,8,8,Finals,Last_Chance_Qualifier_2,,South_America
13,No Org,29,11,6,12,0,19,1,3,2,7,1,6,0,Finals,Last_Chance_Qualifier_2,,South_America
14,GHT,28,15,0,19,0,17,0,13,3,2,10,15,3,Finals,Last_Chance_Qualifier_2,,South_America
15,HRS,24,19,0,6,1,13,0,18,0,4,5,11,3,Finals,Last_Chance_Qualifier_2,,South_America
16,INS,21,17,0,16,0,5,1,5,0,15,3,12,7,Finals,Last_Chance_Qualifier_2,,South_America
17,BHT,21,9,4,8,5,7,0,20,0,10,0,7,0,Finals,Last_Chance_Qualifier_2,,South_America
18,TBG,14,12,0,5,4,16,0,10,0,20,0,19,3,Finals,Last_Chance_Qualifier_2,,South_America
19,TERM,12,13,0,7,1,11,0,19,0,12,4,18,0,Finals,Last_Chance_Qualifier_2,,South_America
20,DOOD,10,18,0,13,0,20,2,12,0,11,3,13,1,Finals,Last_Chance_Qualifier_2,,South_America
1,1SE,108,1,11,3,10,1,19,1,20,11,3,15,0,Losers_Bracket,Last_Chance_Qualifier_2,,South_America
2,GHT,76,8,3,1,15,8,0,2,10,2,12,13,1,Losers_Bracket,Last_Chance_Qualifier_2,,South_America
3,INS,59,6,9,10,0,2,8,4,6,4,4,5,4,Losers_Bracket,Last_Chance_Qualifier_2,,South_America
4,FSN,47,13,3,5,4,3,7,6,4,16,1,3,6,Losers_Bracket,Last_Chance_Qualifier_2,,South_America
5,PRDX,40,2,7,4,7,13,0,7,3,17,0,8,3,Losers_Bracket,Last_Chance_Qualifier_2,,South_America
6,ASAIM,37,14,0,6,3,11,0,9,1,1,12,9,0,Losers_Bracket,Last_Chance_Qualifier_2,,South_America
7,GUG,36,15,4,12,3,5,1,3,0,12,2,7,9,Losers_Bracket,Last_Chance_Qualifier_2,,South_America
8,ULW,35,4,2,15,0,14,0,11,0,8,1,1,10,Losers_Bracket,Last_Chance_Qualifier_2,,South_America
9,AIE,32,9,3,14,0,4,3,10,0,5,12,0,0,Losers_Bracket,Last_Chance_Qualifier_2,,South_America
10,2k ping,22,5,0,11,0,15,3,5,0,7,0,6,3,Losers_Bracket,Last_Chance_Qualifier_2,,South_America
11,SFD,22,3,2,13,0,9,2,16,0,6,0,4,0,Losers_Bracket,Last_Chance_Qualifier_2,,South_America
12,HARD,19,12,0,7,1,7,0,13,0,3,2,12,0,Losers_Bracket,Last_Chance_Qualifier_2,,South_America
13,GOAT,18,10,0,2,1,6,0,17,0,9,0,11,0,Losers_Bracket,Last_Chance_Qualifier_2,,South_America
14,TVA,16,0,0,17,0,16,0,12,0,10,0,2,4,Losers_Bracket,Last_Chance_Qualifier_2,,South_America
15,QUAS,11,7,0,9,0,12,0,15,1,14,0,10,0,Losers_Bracket,Last_Chance_Qualifier_2,,South_America
16,WTN,8,11,0,16,0,10,2,8,0,15,0,0,0,Losers_Bracket,Last_Chance_Qualifier_2,,South_America
17,RUA6,7,16,0,8,0,17,0,14,1,13,1,14,0,Losers_Bracket,Last_Chance_Qualifier_2,,South_America
18,MALA,0,0,0,0,0,0,0,0,0,0,0,0,0,Losers_Bracket,Last_Chance_Qualifier_2,,South_America
19,MVP,0,0,0,0,0,0,0,0,0,0,0,0,0,Losers_Bracket,Last_Chance_Qualifier_2,,South_America
20,SIG,0,0,0,0,0,0,0,0,0,0,0,0,0,Losers_Bracket,Last_Chance_Qualifier_2,,South_America
