Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5,Region
4,PWLS,51,8,3,1,5,1,8,7,1,Lobby 1,Semifinals,5,0,15,0,APAC_South
5,WHIZ,44,2,5,3,8,8,8,17,4,Lobby 1,Semifinals,12,0,18,0,APAC_South
6,SNG,43,6,7,10,9,10,0,10,0,Lobby 1,Semifinals,7,3,4,7,APAC_South
7,Pavlova,43,3,5,2,1,4,5,12,3,Lobby 1,Semifinals,11,3,10,1,APAC_South
8,INF,39,5,0,13,0,7,6,4,7,Lobby 1,Semifinals,13,0,3,5,APAC_South
9,Dimple Esport,38,1,8,19,0,13,0,16,0,Lobby 1,Semifinals,3,7,9,1,APAC_South
10,Estrell,34,7,1,20,0,9,0,2,11,Lobby 1,Semifinals,10,0,5,2,APAC_South
11,uwuXuwu,34,10,2,5,3,3,9,5,1,Lobby 1,Semifinals,9,0,16,0,APAC_South
12,WAT,29,12,4,11,0,18,0,14,0,Lobby 1,Semifinals,8,4,2,7,APAC_South
13,RNG,26,20,0,6,2,14,1,15,0,Lobby 1,Semifinals,2,5,11,3,APAC_South
14,AFxRP Skyrise,18,15,2,17,0,5,2,8,4,Lobby 1,Semifinals,16,0,7,0,APAC_South
15,RebellioN,17,11,0,14,3,12,0,11,0,Lobby 1,Semifinals,6,0,6,4,APAC_South
16,EVO.Supreme,13,14,0,9,0,19,0,19,1,Lobby 1,Semifinals,15,7,14,0,APAC_South
17,DREAM,11,9,4,15,0,17,3,18,1,Lobby 1,Semifinals,20,0,20,0,APAC_South
18,IFPD,10,16,0,16,0,6,1,6,3,Lobby 1,Semifinals,19,0,17,0,APAC_South
19,hello nihao,5,18,0,18,0,20,0,20,0,Lobby 1,Semifinals,14,0,8,2,APAC_South
20,Incorporated,4,19,0,8,0,11,0,13,0,Lobby 1,Semifinals,17,0,20,0,APAC_South
1,O3,92,4,10,1,16,11,3,1,14,Lobby 2,Semifinals,2,1,12,8,APAC_South
2,TX,45,13,12,18,0,16,5,12,3,Lobby 2,Semifinals,15,3,1,7,APAC_South
3,PG,45,12,2,12,1,9,10,2,4,Lobby 2,Semifinals,11,1,4,8,APAC_South
