Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby,Round,Split
8.0,KDT - Amber,37,8,8,12,1,11,1,4,4,8,5,10,5,Lobby 1,Finals,Split_1
9.0,TCS,37,6,6,17,0,10,2,11,0,2,7,8,5,Lobby 1,Finals,Split_1
10.0,AK47,33,12,0,15,5,3,8,10,4,14,3,17,1,Lobby 1,Finals,Split_1
11.0,GDb,33,2,4,11,0,7,6,13,0,16,0,3,2,Lobby 1,Finals,Split_1
12.0,ThreeBiden,32,5,4,18,0,19,0,7,5,7,7,14,5,Lobby 1,Finals,Split_1
13.0,PVP,23,17,0,2,2,20,0,6,0,10,3,5,0,Lobby 1,Finals,Split_1
14.0,Seven,22,14,0,4,5,16,0,8,4,13,1,7,0,Lobby 1,Finals,Split_1
15.0,TBG,18,10,1,14,0,2,0,5,0,15,0,18,0,Lobby 1,Finals,Split_1
16.0,O3,17,16,0,13,0,14,1,12,5,5,2,9,0,Lobby 1,Finals,Split_1
17.0,RAV,17,9,0,7,4,13,0,18,3,6,0,15,0,Lobby 1,Finals,Split_1
18.0,MFL-Escape,13,15,0,16,0,6,0,9,3,17,0,13,3,Lobby 1,Finals,Split_1
19.0,EZPIKERS,8,19,2,10,0,15,0,20,1,9,0,20,0,Lobby 1,Finals,Split_1
20.0,ROCKETZ TEAM,1,18,0,20,1,18,0,19,0,20,0,20,0,Lobby 1,Finals,Split_1
1.0,4BIDDEN,104,1,18,15,1,9,2,1,17,2,18,6,9,Lobby 1,Semifinals,Split_1
2.0,GUG,89,2,8,13,0,1,20,7,6,8,6,1,10,Lobby 1,Semifinals,Split_1
3.0,AIE,66,8,7,1,23,8,4,6,3,16,3,9,5,Lobby 1,Semifinals,Split_1
4.0,Mystical,59,4,3,3,5,4,4,3,5,4,7,7,3,Lobby 1,Semifinals,Split_1
5.0,PVP,43,3,0,4,1,16,0,17,0,1,5,2,4,Lobby 1,Semifinals,Split_1
6.0,RAV,39,10,1,11,1,3,6,10,6,13,0,3,5,Lobby 1,Semifinals,Split_1
7.0,pointbreakteam,34,11,3,8,0,2,6,4,4,17,0,11,3,Lobby 1,Semifinals,Split_1
8.0,OSO,32,16,0,9,6,11,1,9,5,3,1,4,2,Lobby 1,Semifinals,Split_1
9.0,AK47,29,6,2,5,3,13,1,5,0,7,4,5,0,Lobby 1,Semifinals,Split_1
10.0,QUAS,20,9,0,14,0,7,1,12,0,5,2,8,4,Lobby 1,Semifinals,Split_1
11.0,DEFOCUSED,18,7,0,2,3,14,0,16,0,11,0,13,0,Lobby 1,Semifinals,Split_1
12.0,SolarX,16,15,1,6,1,5,1,11,1,10,0,14,0,Lobby 1,Semifinals,Split_1
13.0,KPS,15,12,2,7,1,15,0,13,1,6,2,17,0,Lobby 1,Semifinals,Split_1
14.0,1k ping,14,13,0,16,0,17,0,2,0,9,0,10,0,Lobby 1,Semifinals,Split_1
15.0,Os Minhauu,13,5,1,10,0,6,1,14,0,12,0,16,0,Lobby 1,Semifinals,Split_1
16.0,NICA,7,14,0,17,0,12,0,8,1,14,0,12,0,Lobby 1,Semifinals,Split_1
17.0,Tharsis,7,17,0,12,0,10,1,15,0,15,0,15,0,Lobby 1,Semifinals,Split_1
1.0,BTH,95,3,5,1,14,3,14,10,1,7,1,1,17,Lobby 2,Semifinals,Split_1
2.0,CerditosMacabeos,83,1,17,5,8,7,2,1,15,6,6,11,0,Lobby 2,Semifinals,Split_1
3.0,SST,55,6,10,12,0,8,3,11,6,1,13,10,2,Lobby 2,Semifinals,Split_1
4.0,NAVY,53,2,7,2,9,6,6,4,4,14,0,0,0,Lobby 2,Semifinals,Split_1
5.0,O3,43,8,0,3,0,1,6,3,1,9,0,7,3,Lobby 2,Semifinals,Split_1
6.0,G.O.A.T Amber,42,12,2,6,4,14,3,2,5,3,6,13,0,Lobby 2,Semifinals,Split_1
7.0,TCS,38,15,1,15,0,4,4,5,1,11,6,2,5,Lobby 2,Semifinals,Split_1
8.0,TBG,33,11,0,8,0,2,0,7,1,2,2,4,1,Lobby 2,Semifinals,Split_1
9.0,Mafia Legends,23,13,0,13,0,9,0,14,3,13,3,3,4,Lobby 2,Semifinals,Split_1
10.0,MFL-Escape,23,5,1,9,3,5,1,13,0,8,0,8,3,Lobby 2,Semifinals,Split_1
11.0,EZPIKERS,22,14,0,4,0,11,0,9,0,4,2,5,2,Lobby 2,Semifinals,Split_1
12.0,Glitch Wabi Sabi,19,7,0,7,3,15,0,6,0,10,1,6,0,Lobby 2,Semifinals,Split_1
13.0,Shiba Inu,12,4,0,14,0,13,0,12,0,12,0,12,2,Lobby 2,Semifinals,Split_1
14.0,OASIS ULTIMATE,12,9,0,10,0,10,0,8,0,15,0,9,1,Lobby 2,Semifinals,Split_1
15.0,Team Why Not,11,10,0,11,0,12,1,15,0,5,0,14,0,Lobby 2,Semifinals,Split_1
16.0,Legión de monos,0,0,0,0,0,0,0,0,0,0,0,0,0,Lobby 2,Semifinals,Split_1
1.0,4BIDDEN,105,2,11,3,13,16,3,6,5,2,12,1,21,Lobby 1,Finals,Split_1
2.0,AIE,86,1,9,18,0,1,12,1,15,3,6,11,0,Lobby 1,Finals,Split_1
3.0,SST,55,3,13,4,7,8,5,16,0,14,3,4,7,Lobby 1,Finals,Split_1
4.0,AK47,47,10,4,1,9,9,3,15,0,10,3,5,5,Lobby 1,Finals,Split_1
5.0,RAV,44,9,4,12,0,12,2,5,6,1,10,9,0,Lobby 1,Finals,Split_1
6.0,G.O.A.T Amber,36,4,8,9,3,18,3,9,7,13,4,17,1,Lobby 1,Finals,Split_1
7.0,Mafia Legends,36,17,0,15,0,2,8,4,9,17,0,6,1,Lobby 1,Finals,Split_1
8.0,BTH,35,12,0,6,8,3,10,14,0,12,3,13,0,Lobby 1,Finals,Split_1
9.0,MFL-Escape,30,18,0,13,0,5,1,3,3,4,2,3,0,Lobby 1,Finals,Split_1
10.0,NAVY,28,5,2,10,4,6,1,10,0,6,2,8,3,Lobby 1,Finals,Split_1
11.0,O3,28,6,1,2,3,7,1,8,0,8,0,7,1,Lobby 1,Finals,Split_1
12.0,CerditosMacabeos,26,14,0,8,1,11,0,2,2,5,4,12,1,Lobby 1,Finals,Split_1
13.0,GUG,22,19,0,17,0,10,0,7,1,7,0,2,4,Lobby 1,Finals,Split_1
14.0,Mystical,13,7,0,7,2,4,0,0,0,0,0,0,0,Lobby 1,Finals,Split_1
15.0,PVP,10,15,0,5,1,13,0,12,0,9,0,16,0,Lobby 1,Finals,Split_1
16.0,TBG,8,11,0,19,0,14,0,17,0,15,0,15,4,Lobby 1,Finals,Split_1
17.0,TCS,7,8,1,14,2,19,0,0,0,11,0,18,0,Lobby 1,Finals,Split_1
18.0,OSO,7,16,0,11,1,15,1,11,0,16,0,10,0,Lobby 1,Finals,Split_1
19.0,QUAS,6,13,0,16,0,17,0,13,1,18,0,14,2,Lobby 1,Finals,Split_1
20.0,pointbreakteam,0,20,0,20,0,20,0,0,0,0,0,0,0,Lobby 1,Finals,Split_1
