Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5,Split
6.0,OJ,29,4,9,6,2,3,2,13,0,Lobby 4,Quarterfinals,,,,,Split_2
7.0,AmK,27,6,0,2,10,7,1,15,0,Lobby 4,Quarterfinals,,,,,Split_2
8.0,September,19,9,0,5,0,16,0,2,4,Lobby 4,Quarterfinals,,,,,Split_2
9.0,TTS,17,11,6,8,0,14,0,3,0,Lobby 4,Quarterfinals,,,,,Split_2
10.0,CACAD,14,15,4,17,0,6,2,12,3,Lobby 4,Quarterfinals,,,,,Split_2
11.0,Baj,14,17,0,19,0,2,2,7,0,Lobby 4,Quarterfinals,,,,,Split_2
12.0,WN,11,12,2,9,5,19,0,17,1,Lobby 4,Quarterfinals,,,,,Split_2
13.0,MASQ,10,14,0,7,3,18,0,10,1,Lobby 4,Quarterfinals,,,,,Split_2
14.0,Speed,9,10,0,14,0,10,0,6,1,Lobby 4,Quarterfinals,,,,,Split_2
15.0,BIGG,8,7,1,16,0,8,0,8,0,Lobby 4,Quarterfinals,,,,,Split_2
16.0,BLANK,8,3,0,18,0,11,0,16,0,Lobby 4,Quarterfinals,,,,,Split_2
17.0,Amletics,6,18,0,11,3,17,0,18,2,Lobby 4,Quarterfinals,,,,,Split_2
18.0,YS,5,13,0,13,0,9,0,14,0,Lobby 4,Quarterfinals,,,,,Split_2
19.0,jpeg,2,16,0,12,0,13,0,19,0,Lobby 4,Quarterfinals,,,,,Split_2
1.0,AVG,78,1,14,9,4,9,5,11,6,Lobby 1,Semifinals,1.0,10.0,9.0,8.0,Split_2
2.0,ARENA,60,3,4,7,1,1,9,1,12,Lobby 1,Semifinals,16.0,0.0,19.0,0.0,Split_2
3.0,HAKA,58,5,7,6,1,15,0,10,4,Lobby 1,Semifinals,2.0,9.0,4.0,13.0,Split_2
4.0,Lowkey,51,10,1,8,5,3,12,7,0,Lobby 1,Semifinals,15.0,3.0,1.0,3.0,Split_2
5.0,KMF,46,2,11,5,3,6,6,12,2,Lobby 1,Semifinals,20.0,0.0,7.0,4.0,Split_2
6.0,INX,39,12,0,15,2,10,0,3,7,Lobby 1,Semifinals,7.0,2.0,2.0,5.0,Split_2
7.0,JET,39,4,1,4,7,5,3,19,0,Lobby 1,Semifinals,10.0,2.0,3.0,3.0,Split_2
8.0,Phantom,33,7,2,1,8,7,1,5,0,Lobby 1,Semifinals,18.0,0.0,17.0,0.0,Split_2
9.0,END2,30,14,2,13,3,4,5,8,7,Lobby 1,Semifinals,14.0,0.0,14.0,2.0,Split_2
10.0,Sanity,28,16,0,11,1,20,0,2,7,Lobby 1,Semifinals,4.0,3.0,8.0,0.0,Split_2
