Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5,Split
12.0,Streamer,12,13,0,8,0,9,0,7,4,Lobby 3,Quarterfinals,,,,,Split_2
13.0,AYAME,9,10,0,11,0,6,0,6,0,Lobby 3,Quarterfinals,,,,,Split_2
1.0,NT,41,2,6,1,8,8,3,12,0,Lobby 4,Quarterfinals,,,,,Split_2
2.0,DON,40,13,0,6,5,3,2,1,10,Lobby 4,Quarterfinals,,,,,Split_2
3.0,O2,39,11,5,9,6,4,8,2,3,Lobby 4,Quarterfinals,,,,,Split_2
4.0,ORC,36,3,1,5,1,2,8,10,4,Lobby 4,Quarterfinals,,,,,Split_2
5.0,JDT,35,4,3,13,0,1,8,6,3,Lobby 4,Quarterfinals,,,,,Split_2
6.0,FAFAFA,34,5,6,2,4,9,4,5,1,Lobby 4,Quarterfinals,,,,,Split_2
7.0,KZG,27,1,8,10,1,12,1,11,1,Lobby 4,Quarterfinals,,,,,Split_2
8.0,HITBOX,26,12,0,11,5,6,0,3,9,Lobby 4,Quarterfinals,,,,,Split_2
9.0,ICHC,23,8,3,7,3,5,4,8,2,Lobby 4,Quarterfinals,,,,,Split_2
10.0,EGJP,17,7,0,4,2,13,0,4,1,Lobby 4,Quarterfinals,,,,,Split_2
11.0,IGG,16,6,2,8,1,10,0,7,3,Lobby 4,Quarterfinals,,,,,Split_2
12.0,TMB,12,10,0,3,0,11,0,9,0,Lobby 4,Quarterfinals,,,,,Split_2
13.0,Zenith,11,9,2,12,0,7,1,13,1,Lobby 4,Quarterfinals,,,,,Split_2
1.0,HGC,71,10,8,14,5,1,13,1,13,Lobby 1,Semifinals,4.0,0.0,19.0,0.0,Split_2
2.0,SYTH,50,16,0,1,10,9,1,5,4,Lobby 1,Semifinals,2.0,7.0,14.0,0.0,Split_2
3.0,BeastMode,45,3,5,2,8,6,5,15,2,Lobby 1,Semifinals,11.0,4.0,18.0,0.0,Split_2
