C vs D StandingsPlacements and killsPoints,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby,B vs D StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints
,SKC,45,4,6,5,2,19,0,12,3,1,9,7,0,Round 7,,,5.0,,
,MVP,44,18,0,1,15,15,0,11,0,4,9,11,0,Round 7,,,6.0,,
,ELV,42,7,3,13,2,1,15,13,1,19,0,8,2,Round 7,,,7.0,,
,TK,40,8,7,18,0,6,1,6,9,8,7,6,3,Round 7,,,8.0,,
,DYN,35,5,2,9,0,10,3,4,3,2,3,10,0,Round 7,,,9.0,,
,TC,30,19,0,6,2,5,2,2,6,15,2,13,0,Round 7,,,10.0,,
,WILD,29,12,5,7,2,8,6,5,3,16,0,14,2,Round 7,,,11.0,,
,Slav Animals,22,11,2,8,2,16,0,3,5,11,1,15,0,Round 7,,,12.0,,
,Love Egirls,18,13,0,16,0,17,0,14,0,3,3,5,2,Round 7,,,13.0,,
,USB,17,14,0,10,3,13,2,17,0,10,0,9,4,Round 7,,,14.0,,
,ODK,14,6,1,14,1,12,1,19,0,14,2,16,3,Round 7,,,15.0,,
,No Org,14,10,0,11,2,14,0,9,2,13,2,18,1,Round 7,,,16.0,,
,SLU,12,15,0,15,5,18,0,15,0,18,0,12,3,Round 7,,,17.0,,
,DGL,11,16,1,17,0,11,2,10,3,12,0,17,1,Round 7,,,18.0,,
,INS,9,17,0,19,0,4,1,16,0,17,3,19,0,Round 7,,,19.0,,
,Natural Killer,0,20,0,20,0,20,0,20,0,20,0,20,0,Round 7,,,20.0,,
,BRT,76,7,6,16,3,1,8,3,4,1,11,3,3,Round 8,,,,1.0,
,SNG,76,10,1,1,9,2,12,13,2,5,3,2,12,Round 8,,,,2.0,
,FNX,63,6,7,18,1,8,8,2,5,4,6,1,5,Round 8,,,,3.0,
,LNW,55,2,6,3,9,15,0,14,0,2,7,4,1,Round 8,,,,4.0,
,HRS,51,1,18,8,4,7,4,16,0,13,1,8,4,Round 8,,,,5.0,
,DC,39,5,0,4,3,10,4,4,11,8,3,19,0,Round 8,,,,6.0,
,CIA,38,20,0,5,7,3,9,5,4,19,1,9,0,Round 8,,,,7.0,
,BHT,37,12,0,15,2,4,2,1,13,11,0,20,0,Round 8,,,,8.0,
,KZN,32,14,1,2,4,20,0,9,0,3,3,7,2,Round 8,,,,9.0,
,FSN,28,19,0,10,0,5,5,8,3,12,1,6,7,Round 8,,,,10.0,
,ElemenT,26,13,0,12,0,6,3,20,0,15,3,5,10,Round 8,,,,11.0,
,PD,25,3,5,9,2,11,4,11,2,14,0,16,0,Round 8,,,,12.0,
,AIM,24,17,0,6,6,12,0,7,2,6,3,11,2,Round 8,,,,13.0,
